lat,lng,indice,dateandtime,Uso del suelo,Ganadería,Vegetación de Ribera,Vegetación de Acuática,Agua – Transparencia,Agua – Olor,Basura,Desbordado,Entubado,Agua – Aceites,Vegetación en las márgenes,Exóticas – Acacia,Exóticas – Ligustro,id,Sitio
-31.081636,-64.343147,84.8,30-05-2024,"2","10","10","8","10","10","10","10","10","10","8","10","10",1,Candonga
-31.081543,-64.342949,80,30-05-2024,"2","10","8","8","10","10","10","10","10","10","8","10","2",1,Candonga
-31.081717,-64.342972,71.2,06-09-2024,"6","4","8","8","10","10","3","10","10","10","0","10","2",1,Candonga
-31.081699,-64.343048,83.3,06-09-2024,"6","10","8","10","10","10","10","10","10","10","0","10","0",1,Candonga
-31.08165,-64.343117,76.8,06-09-2024,"10","4","10","10","10","10","6","10","0","10","0","0","0",1,Candonga
-31.081715,-64.343025,70.8,06-09-2024,"0","0","10","10","10","10","10","10","10","10","0","10","0",1,Candonga
-31.081585,-64.343185,90,06-12-2024,"10","4","10","10","10","10","10","10","10","10","0","10","2",1,Candonga
-31.081755,-64.343163,73,06-12-2024,"0","0","10","8","10","10","6","10","10","10","8","10","2",1,Candonga
-31.08219,-64.343124,91.3,06-12-2024,"10","0","10","10","10","10","6","10","10","10","8","10","0",1,Candonga
-31.081669,-64.343094,79.2,06-09-2024,"6","4","10","10","10","10","10","10","10","10","0","10","0",1,Candonga
-31.081446,-64.343239,84.8,06-12-2024,"10","4","10","10","10","10","3","10","10","10","10","10","2",1,Candonga
-31.081577,-64.343147,70.4,06-12-2024,"0","0","10","10","10","10","10","10","10","10","0","2","0",1,Candonga
-31.081448,-64.343193,88.7,06-12-2024,"10","0","10","10","10","10","6","10","10","10","8","0","2",1,Candonga
-31.081852,-64.343185,61.7,07-03-2025,"10","0","8","8","10","10","5","10","0","10","8","2","0",1,Candonga
-31.081867,-64.343079,49.6,07-03-2025,"2","10","10","8","10","10","3","10","0","10","10","2","0",1,Candonga
-31.081572,-64.34314,49.6,07-03-2025,"0","0","10","10","10","10","6","10","0","10","10","2","0",1,Candonga
-31.076679,-64.3321,90.8,30-05-2024,"10","0","10","8","10","10","10","10","10","10","8","10","2",2,Vado San Francisco
-31.076546,-64.332397,83.3,30-05-2024,"10","0","10","8","10","10","7","10","10","10","8","2","0",2,Vado San Francisco
-31.076504,-64.332405,84.2,30-05-2024,"10","0","10","10","10","10","10","10","10","10","0","2","0",2,Vado San Francisco
-31.07674,-64.332024,84.2,30-05-2024,"10","0","10","10","10","10","10","10","10","10","0","2","0",2,Vado San Francisco
-31.076628,-64.332047,80.8,06-09-2024,"10","0","10","8","10","10","6","10","10","10","0","2","2",2,Vado San Francisco
-31.076706,-64.332108,85.2,06-09-2024,"10","0","8","10","10","10","10","10","10","10","0","0","0",2,Vado San Francisco
-31.076586,-64.331993,81.7,06-09-2024,"10","0","10","10","10","10","3","10","10","10","0","10","0",2,Vado San Francisco
-31.07666,-64.332054,85,06-09-2024,"10","0","10","10","10","10","10","10","10","10","0","2","2",2,Vado San Francisco
-31.076603,-64.332016,90.4,06-12-2024,"10","0","10","8","10","10","10","10","10","10","0","10","2",2,Vado San Francisco
-31.076649,-64.332024,89.6,06-12-2024,"10","0","10","8","10","10","10","10","10","10","0","10","0",2,Vado San Francisco
-31.076618,-64.332062,94.2,06-12-2024,"10","0","10","10","10","10","9","10","10","10","8","10","0",2,Vado San Francisco
-31.076702,-64.332291,83.5,06-09-2024,"10","0","10","10","10","10","6","10","10","10","0","0","0",2,Vado San Francisco
-31.076492,-64.332413,83.3,06-12-2024,"10","0","10","10","10","10","5","10","10","10","10","0","0",2,Vado San Francisco
-31.076668,-64.332077,92.2,06-12-2024,"10","0","10","10","10","10","10","10","10","10","0","10","2",2,Vado San Francisco
-31.076633,-64.332054,87,06-12-2024,"10","0","10","10","10","10","10","10","10","10","0","0","0",2,Vado San Francisco
-31.076584,-64.332016,87,06-12-2024,"10","0","10","10","10","10","10","10","10","10","0","0","0",2,Vado San Francisco
-31.076651,-64.332031,87,07-03-2025,"10","0","10","10","10","10","5","10","10","10","10","0","0",2,Vado San Francisco
-31.076471,-64.331978,83.3,07-03-2025,"10","0","10","10","10","10","5","10","10","10","10","0","0",2,Vado San Francisco
-31.07675,-64.332146,86.1,07-03-2025,"10","0","10","10","10","10","5","10","10","10","8","0","0",2,Vado San Francisco
-31.076637,-64.332054,87,07-03-2025,"10","0","10","10","10","10","6","10","10","10","8","0","0",2,Vado San Francisco
-31.072739,-64.310265,63.3,07-03-2024,"4","0","8","0","10","10","10","10","10","0","0","10","0",3,Puente Cerro Azul
-31.07266,-64.310364,83.3,07-03-2024,"10","0","10","10","10","10","10","10","10","0","0","10","0",3,Puente Cerro Azul
-31.072649,-64.310463,71.7,07-03-2024,"10","0","10","0","10","10","10","10","10","0","0","10","0",3,Puente Cerro Azul
-31.072651,-64.310425,90,07-03-2024,"10","0","10","8","10","10","10","10","10","10","0","0","2",3,Puente Cerro Azul
-31.072702,-64.310349,65,07-03-2024,"4","0","10","0","10","10","10","10","10","0","0","10","0",3,Puente Cerro Azul
-31.072458,-64.310066,87,07-03-2024,"10","0","10","8","10","10","10","10","10","10","0","2","0",3,Puente Cerro Azul
-31.072691,-64.310379,78.3,07-03-2024,"10","0","8","0","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072573,-64.31041,61.7,07-03-2024,"4","0","10","0","10","10","10","10","10","0","0","10","0",3,Puente Cerro Azul
-31.072758,-64.310547,80,07-03-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.073067,-64.310936,90,17-03-2024,"10","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072859,-64.310997,78.3,28-03-2024,"10","0","4","8","10","10","3","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072626,-64.310516,73.3,28-04-2024,"4","0","10","0","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072617,-64.310402,65,28-04-2024,"4","0","10","8","10","10","7","10","10","0","8","2","0",3,Puente Cerro Azul
-31.073685,-64.311035,77.4,28-04-2024,"10","0","4","10","10","10","10","10","10","0","10","0","0",3,Puente Cerro Azul
-31.072615,-64.310417,51,30-05-2024,"0","0","10","0","10","10","10","10","0","10","0","10","0",3,Puente Cerro Azul
-31.072557,-64.310387,83.3,30-05-2024,"4","0","10","8","10","10","10","10","10","10","8","10","0",3,Puente Cerro Azul
-31.072613,-64.310371,75,30-05-2024,"10","0","10","8","10","10","5","10","10","0","0","10","2",3,Puente Cerro Azul
-31.072401,-64.310364,94.2,30-05-2024,"10","0","10","8","10","10","10","10","10","10","10","10","0",3,Puente Cerro Azul
-31.072548,-64.310417,70.8,28-04-2024,"4","0","10","8","10","10","10","10","10","0","8","10","0",3,Puente Cerro Azul
-31.072569,-64.310173,77.4,06-09-2024,"4","0","10","10","10","10","6","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072592,-64.310211,75.8,06-09-2024,"4","0","10","10","10","10","6","10","10","10","0","10","2",3,Puente Cerro Azul
-31.072536,-64.310364,76.7,06-09-2024,"4","0","10","8","10","10","6","10","10","10","8","10","0",3,Puente Cerro Azul
-31.072512,-64.310249,80,06-09-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072601,-64.310173,75,06-09-2024,"4","0","8","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072596,-64.310226,76.7,06-09-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072611,-64.310204,76.7,06-09-2024,"4","0","8","10","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072527,-64.310432,90,06-09-2024,"10","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072536,-64.310364,76.7,06-09-2024,"4","0","10","8","10","10","6","10","10","10","8","10","0",3,Puente Cerro Azul
-31.072523,-64.310242,75,06-09-2024,"4","0","10","10","10","10","6","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072603,-64.310471,80,18-10-2024,"4","0","10","8","10","10","6","10","10","10","8","10","0",3,Puente Cerro Azul
-31.072544,-64.310402,79.2,06-12-2024,"10","4","10","10","10","10","3","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072544,-64.310402,79.2,06-12-2024,"10","4","10","10","10","10","3","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072544,-64.310402,79.2,06-12-2024,"10","4","10","10","10","10","3","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072544,-64.310402,79.2,06-12-2024,"10","4","10","10","10","10","3","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072544,-64.310402,79.2,06-12-2024,"10","4","10","10","10","10","3","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072657,-64.31044,70.8,06-12-2024,"4","0","10","8","10","10","5","10","10","0","8","10","0",3,Puente Cerro Azul
-31.072603,-64.310356,85,06-12-2024,"10","0","8","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.07254,-64.310478,73.6,06-12-2024,"4","10","10","8","10","10","6","10","10","10","8","2","0",3,Puente Cerro Azul
-31.072687,-64.310295,73.3,06-12-2024,"4","0","10","0","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072643,-64.31031,81.7,06-12-2024,"10","0","0","8","10","10","6","10","10","10","8","10","0",3,Puente Cerro Azul
-31.072641,-64.310555,81.7,18-10-2024,"4","0","10","10","10","10","6","10","10","10","8","10","0",3,Puente Cerro Azul
-31.072517,-64.310188,84.3,06-09-2024,"4","0","10","10","10","10","10","10","10","10","8","0","0",3,Puente Cerro Azul
-31.072697,-64.310387,0,07-03-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puente Cerro Azul
-31.072556,-64.310387,77.5,06-12-2024,"10","0","10","8","10","10","3","10","10","10","0","2","0",3,Puente Cerro Azul
-31.072441,-64.310074,86.7,15-04-2024,"10","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072741,-64.310341,73.3,07-03-2024,"10","0","4","8","10","10","10","10","10","0","0","2","0",3,Puente Cerro Azul
-31.072643,-64.310394,90,07-03-2025,"10","0","10","8","10","10","6","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072651,-64.310341,71.3,07-03-2025,"10","0","10","8","10","10","0","10","10","0","8","0","0",3,Puente Cerro Azul
-31.072605,-64.310356,66.7,07-03-2025,"10","0","10","0","10","10","0","10","10","0","8","10","0",3,Puente Cerro Azul
-31.072746,-64.310471,90,07-03-2025,"10","0","10","8","10","10","6","10","10","10","10","0","0",3,Puente Cerro Azul
-31.072527,-64.310478,89.1,07-03-2025,"10","0","10","8","10","10","6","10","10","10","8","0","0",3,Puente Cerro Azul
-31.067951,-64.303452,90,15-09-2023,"10","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068275,-64.303276,83.3,15-09-2023,"10","0","10","0","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068069,-64.303307,81.7,15-09-2023,"4","0","8","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068844,-64.301399,81.7,27-10-2023,"4","0","8","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068886,-64.301231,77.4,27-10-2023,"10","0","10","10","10","0","3","0","10","10","8","2","0",4,Puenta Agua de Oro
-31.068762,-64.30127,88.2,27-10-2023,"10","0","4","8","10","10","10","10","10","10","8","2","0",4,Puenta Agua de Oro
-31.068937,-64.301353,85,27-10-2023,"10","0","4","8","10","10","10","10","10","10","8","2","0",4,Puenta Agua de Oro
-31.068911,-64.301414,79.1,27-10-2023,"4","0","4","0","10","10","6","10","10","10","8","10","10",4,Puenta Agua de Oro
-31.068764,-64.301392,71.7,27-10-2023,"4","0","8","0","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068693,-64.301041,80,27-10-2023,"4","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.069069,-64.301208,72,27-10-2023,"2","4","10","8","10","10","10","10","10","10","10","0","0",4,Puenta Agua de Oro
-31.068857,-64.301422,73,27-10-2023,"10","0","4","0","10","10","10","0","10","10","0","0","0",4,Puenta Agua de Oro
-31.068438,-64.302299,77.4,30-05-2024,"4","0","10","8","10","10","3","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068565,-64.302391,75.8,30-05-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068663,-64.302322,72.5,30-05-2024,"4","0","10","10","10","10","3","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068205,-64.302094,75,30-05-2024,"4","0","8","8","10","10","6","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068363,-64.302284,64.2,30-05-2024,"4","0","4","10","10","10","3","10","10","10","0","2","0",4,Puenta Agua de Oro
